feature,importance_orig,importance_retrained
abx_Ampicillin,0.23503242869618757,0.24394603520958888
abx_Tetracycline,0.11453431659320236,0.11307620591552792
abx_Erythromycin,0.04212875690492814,0.04059609495291943
abx_Penicillin,0.04209798926593084,0.045384240736866185
org_KLEBSIELLA PNEUMONIAE,0.04109421843822787,0.03542127052465948
abx_Piperacillin/Tazobactam,0.035418019920000245,0.03422933775940205
org_ENTEROCOCCUS SPECIES,0.033237218650225914,0.0282898907877225
culture_RESPIRATORY,0.030907200892588343,0.030965613068025515
abx_Ertapenem,0.030625418956008312,0.03030303510583101
abx_Meropenem,0.030553954983817664,0.029415850358446953
culture_URINE,0.029535757199166755,0.03207454768971081
org_STAPH AUREUS {MRSA},0.029383524618644973,0.02932056141089251
org_COAG NEGATIVE STAPHYLOCOCCUS,0.02448418582469067,0.025083801573719096
abx_Amikacin,0.02348792009619571,0.021651307709779664
org_PROTEUS MIRABILIS,0.022529966745635174,0.020762607558295145
gender_num,0.017443180592350806,0.016531010000694086
org_ESCHERICHIA COLI,0.016227743660443307,0.015585992870317204
abx_Trimethoprim/Sulfamethoxazole,0.01617142950826816,0.017000914313075377
abx_Vancomycin,0.014886267246649654,0.015670787366535193
org_STAPHYLOCOCCUS AUREUS,0.012855812793949126,0.014237558741161142
abx_Ampicillin/Sulbactam,0.012285348171112787,0.012452493517231704
org_Other,0.01179025767982561,0.01329611843363624
abx_Gentamicin,0.01079043236650554,0.01129025811588151
abx_Clindamycin,0.009591821861412865,0.007437013830724648
abx_Linezolid,0.006952685219684487,0.0075935205873982736
abx_Cefazolin,0.006924299635214789,0.0076967961775354045
abx_Oxacillin,0.006584089999224554,0.006284301520141434
abx_Nitrofurantoin,0.006428075592484456,0.008045379003794472
org_MORGANELLA MORGANII,0.006390105303937727,0.005874051255529553
org_ENTEROCOCCUS FAECALIS,0.0053668124638039695,0.004963430059162854
culture_BLOOD,0.005067729221041905,0.00516141057257125
abx_Levofloxacin,0.004855302433521721,0.005060884525699407
hosp_ward_OP,0.004829646138475253,0.0042415614470621005
hosp_ward_IP,0.00464531611822339,0.005023792653153639
hosp_ward_ER,0.0044609351059298466,0.004575328464657641
abx_Cefuroxime,0.004303692028680588,0.0047833734203716624
abx_Moxifloxacin,0.00427313754347848,0.00451308714444847
org_KLEBSIELLA OXYTOCA,0.0039806719619003865,0.005033063781372788
abx_Tobramycin,0.00360772043095065,0.0033467362865642653
org_STREPTOCOCCUS AGALACTIAE (GROUP B),0.0034302930994771796,0.002252238220526427
abx_Ceftazidime,0.003129893645719122,0.002805416699406592
org_ENTEROBACTER CLOACAE COMPLEX,0.002700607367148563,0.003292076978254607
abx_Ciprofloxacin,0.0026761684510195637,0.001831174151486456
org_SERRATIA MARCESCENS,0.002626696265334625,0.0032300412147215052
org_CITROBACTER KOSERI,0.0024704770374433488,0.00318869149163866
org_PSEUDOMONAS AERUGINOSA (NON-MUCOID CF),0.0024616012362943373,0.0015491911559288713
abx_Cefoxitin,0.00201756130242509,0.002721387221174813
hosp_ward_ICU,0.0020174647630166903,0.001778433150354027
abx_Ceftriaxone,0.0015119491067004651,0.0012264772858145854
abx_Other,0.0012767936210464862,0.0011295825260313262
org_MUCOID PSEUDOMONAS AERUGINOSA,0.0011261401253242944,0.001175455758899065
abx_Cefepime,0.001111268363690251,0.0015139700548835533
org_ZZZENTEROBACTER AEROGENES,0.0010488985661172086,0.001087835484450018
org_CITROBACTER FREUNDII COMPLEX,0.0010482246031784507,0.0007132993759595525
org_PSEUDOMONAS AERUGINOSA,0.0008890728821738273,0.0009263725165456425
abx_Amoxicillin/Clavulanic Acid,0.0006879775755241614,0.0008959537758238358
org_KLEBSIELLA AEROGENES,0.0006748828022622227,0.001143595511913867
abx_Aztreonam,0.0006480138665066281,0.00041465917805509357
abx_Daptomycin,0.000535389806156506,0.0006893511828442004
abx_Imipenem,0.0001472346509205085,0.00021553261517998974
age_num,0.0,0.0
