organism,n_samples,resistance_rate,acc_original,acc_unlearned,acc_drop
ESCHERICHIA COLI,21946,0.144,0.8564,0.8564,0.0
KLEBSIELLA PNEUMONIAE,3697,0.144,0.9305,0.9305,0.0
Other,2090,0.261,0.7402,0.7397,0.0005
STAPHYLOCOCCUS AUREUS,2005,0.234,0.7975,0.811,-0.0135
PROTEUS MIRABILIS,1714,0.181,0.8594,0.8296,0.0298
ENTEROCOCCUS SPECIES,1710,0.183,0.8643,0.817,0.0474
PSEUDOMONAS AERUGINOSA,1110,0.115,0.8847,0.8847,0.0
MUCOID PSEUDOMONAS AERUGINOSA,766,0.171,0.829,0.829,0.0
KLEBSIELLA OXYTOCA,621,0.119,0.9501,0.9082,0.0419
ENTEROBACTER CLOACAE COMPLEX,607,0.264,0.7496,0.7479,0.0016
COAG NEGATIVE STAPHYLOCOCCUS,554,0.41,0.6823,0.6679,0.0144
CITROBACTER KOSERI,410,0.002,1.0,1.0,0.0
STAPH AUREUS {MRSA},409,0.428,0.7262,0.6724,0.0538
SERRATIA MARCESCENS,391,0.309,0.7161,0.7136,0.0026
CITROBACTER FREUNDII COMPLEX,335,0.227,0.7731,0.7731,0.0
PSEUDOMONAS AERUGINOSA (NON-MUCOID CF),331,0.284,0.716,0.716,0.0
STREPTOCOCCUS AGALACTIAE (GROUP B),318,0.217,0.783,0.783,0.0
KLEBSIELLA AEROGENES,299,0.281,0.7391,0.7391,0.0
MORGANELLA MORGANII,236,0.36,0.6949,0.6483,0.0466
ZZZENTEROBACTER AEROGENES,227,0.282,0.7445,0.7357,0.0088
ENTEROCOCCUS FAECALIS,224,0.134,0.8661,0.8661,0.0
