month,total_deleted,cum_retrain,cum_sisa,cum_prune
1,50,13.372062683105469,1.3685450553894043,0.1899127960205078
2,100,26.744125366210938,2.7370901107788086,0.3798255920410156
3,150,40.116188049316406,4.105635166168213,0.5697383880615234
4,200,53.488250732421875,5.474180221557617,0.7596511840820312
5,250,66.86031341552734,6.8427252769470215,0.9495639801025391
6,300,80.23237609863281,8.211270332336426,1.1394767761230469
7,350,93.60443878173828,9.57981538772583,1.3293895721435547
8,400,106.97650146484375,10.948360443115234,1.5193023681640625
9,450,120.34856414794922,12.316905498504639,1.7092151641845703
10,500,133.7206268310547,13.685450553894043,1.8991279602050781
11,550,147.09268951416016,15.053995609283447,2.089040756225586
12,600,160.46475219726562,16.42254066467285,2.2789535522460938
