month,total_patients_deleted,cum_time_retrain,cum_time_sisa,cum_time_prune
1,50,66.70154857635498,7.500106334686279,0.8498728275299072
2,100,133.40309715270996,15.000212669372559,1.6997456550598145
3,150,200.10464572906494,22.500319004058838,2.5496184825897217
4,200,266.8061943054199,30.000425338745117,3.399491310119629
5,250,333.5077428817749,37.5005316734314,4.249364137649536
6,300,400.2092914581299,45.000638008117676,5.099236965179443
7,350,466.91084003448486,52.500744342803955,5.949109792709351
8,400,533.6123886108398,60.000850677490234,6.798982620239258
9,450,600.3139371871948,67.50095701217651,7.648855447769165
10,500,667.0154857635498,75.0010633468628,8.498728275299072
11,550,733.7170343399048,82.50116968154907,9.34860110282898
12,600,800.4185829162598,90.00127601623535,10.198473930358887
